id,date,type,city,state,ideology,group,description,image
5007,8/13/2018,White Supremacist Propaganda,Pleasanton,CA,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers and stickers that read: ""Keep America American,"" ""Not stolen conquered,"" and ""Strong families make strong nations.""",
5008,8/13/2018,White Supremacist Propaganda,Blue Island,IL,Right Wing (White Supremacist),,"An unknown person or group distributed flyers in Blue Islands that read: ""White Lives Matter"" and included a list of white supremacist websites.",
5009,8/12/2018,White Supremacist Propaganda,Bernards Township,NJ,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Our generation, Our future, Our last chance,"" and ""Action Leadership Identity.""",
5010,8/12/2018,White Supremacist Propaganda,Alpine,NJ,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Action Leadership Identity.""",
5011,8/12/2018,White Supremacist Propaganda,York,PA,Right Wing (White Supremacist),Loyal White Knights,"Loyal White Knights, a Klan group, distributed a flyer titled: ""More Jewish lies from hollywierd!!!""",
5012,8/12/2018,White Supremacist Propaganda,Suisun City,CA,Right Wing (White Supremacist),Loyal White Knights,"Loyal White Knights, a Klan group, distributed flyers that read: "" Save our land join the Klan.""",
5013,8/12/2018,White Supremacist Propaganda,Wheaton,IL,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted stickers that read: ""Resurrection through insurrection.""",
5014,8/12/2018,White Supremacist Propaganda,Long Beach,CA,Right Wing (White Supremacist),Traditionalist American Knights,"Traditionalist American Knights, a Klan group, distributed flyers that read: ""Neighborhood watch. You can sleep tonight knowing the klan is awake. Are there troubles in your neighborhood? Contact the Traditionalist American Knights of the Ku Klux Klan today!""",
5080,8/12/2018,White Supremacist Event,Washington,DC,Right Wing (White Supremacist),Honorable Sacred Knights of the Ku Klux Klan,"Approximately 30 individuals joined Jason Kessler in Washington, D.C., for his ""Unite the Right” rally, marking the one-year anniversary of the deadly gathering in Charlottesville, Virginia.",
5015,8/11/2018,White Supremacist Propaganda,Auburn,WA,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers that read: ""Keep America American.""",
5093,8/11/2018,Extremist Murder,Sumter,SC,Right Wing (Anti-Government),,"Demetrius Alexander Brown, allegedly a self-proclaimed sovereign citizen, shot and killed a man at an automobile repair shop following a dispute.",
5016,8/10/2018,White Supremacist Propaganda,Far Hills,NJ,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Our generation, Our future, Our last chance."" They also posted stickers featuring their group logo.",
5017,8/10/2018,White Supremacist Propaganda,Hagerstown,MD,Right Wing (White Supremacist),Loyal White Knights,"Loyal White Knights, a Klan group, distributed a flyer titled: ""More Jewish lies from hollywierd!!!""",
5018,8/9/2018,White Supremacist Propaganda,Greeley,CO,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, posted stickers featuring their group logo at the University of Northern Colorado.",
5019,8/9/2018,White Supremacist Propaganda,New Bern,NC,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers that read: ""Building a future preserving a nation"" and ""To ourselves and our posterity.""",
5081,8/9/2018,White Supremacist Event,Chicago,IL,Right Wing (White Supremacist),Honorable Sacred Knights of the Ku Klux Klan,"Approximately five members of Identity Evropa held a banner from an overpass that read, ""Stop the invasion, End immigration.”",
5020,8/8/2018,White Supremacist Propaganda,Yonkers,NY,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Immigration and Customs Enforcement thank you for all that you do for our country."" They also posted stickers featuring their group logo.",
5021,8/8/2018,White Supremacist Propaganda,Arvada,CO,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, posted stickers featuring their group logo.",
5022,8/7/2018,White Supremacist Propaganda,Centennial,CO,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Immigration and Customs Enforcement thank you for all that you do for our country,"" and ""Let's become great again."" They also posted stickers featuring their group logo.",
5023,8/7/2018,White Supremacist Propaganda,San Jose,CA,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, posted stickers featuring their group logo.",
5024,8/6/2018,White Supremacist Propaganda,Pittsburgh,PA,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Our generation, Our future, Our last chance.""",
5025,8/6/2018,White Supremacist Propaganda,Aurora,CO,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Immigration and Customs Enforcement thank you for all that you do for our country,"" and ""Let's become great again."" They also posted stickers featuring their group logo.",
5026,8/6/2018,White Supremacist Propaganda,New Brunswick,NJ,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, posted stickers featuring their group logo at Rutgers University.",
5027,8/5/2018,White Supremacist Propaganda,Windsor,CA,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Our generation, Our future, Our last chance."" They also posted stickers featuring their group logo.",
5028,8/5/2018,White Supremacist Propaganda,New Brunswick,NJ,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Our generation, Our future, Our last chance."" They also posted stickers featuring their group logo.",
5029,8/5/2018,White Supremacist Propaganda,Chicago,IL,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Action Leadership Identity."" They also posted stickers featuring their group logo.",
5030,8/5/2018,White Supremacist Propaganda,Denver,CO,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, posted stickers featuring their group logo.",
5031,8/5/2018,White Supremacist Propaganda,Anderson Township,OH,Right Wing (White Supremacist),Loyal White Knights,"Loyal White Knights, a Klan group, distributed recruitment flyers that included racist statements about African Americans.",
5032,8/5/2018,White Supremacist Propaganda,Clearwater,FL,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers and stickers that read: ""Patriots reclaim your birthright,"" ""Not stolen conquered,"" and ""Keep America American.""",
5033,8/5/2018,White Supremacist Propaganda,Dublin,CA,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers that read: ""Strong families make strong nations,"" ""Patriots reclaim your birth right,"" and ""Keep America American.""",
5034,8/4/2018,White Supremacist Propaganda,Chicago,IL,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Our generation, Our future, Our last chance."" They also posted stickers featuring their group logo.",
5035,8/4/2018,White Supremacist Propaganda,Potomac Falls,VA,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers and stickers that read: ""America First,"" ""Reject Poison,"" and ""Keep America American.""",
5036,8/3/2018,White Supremacist Propaganda,Santa Rosa,CA,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, posted stickers featuring their group logo.",
5037,8/3/2018,White Supremacist Propaganda,Calverton,NJ,Right Wing (White Supremacist),White Lives Matter New York,"White Lives Matter New York, posted white supremacist propaganda that read: ""White Lives Matter. It's not racist to love your own people. Take a stand. Being white is still right.""",
5082,8/3/2018,White Supremacist Event,Houston,TX,Right Wing (White Supremacist),Honorable Sacred Knights of the Ku Klux Klan,"Several individuals associated with Patriot Front disrupted a ""Bingo against Borders” event at a Houston Bar.",
5038,8/2/2018,White Supremacist Propaganda,Sonoma,CA,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Our generation, Our future, Our last chance."" They also posted stickers featuring their group logo.",
5039,8/2/2018,White Supremacist Propaganda,Chester,NJ,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Our generation, Our future, Our last chance."" They also posted stickers featuring their group logo.",
5040,8/2/2018,White Supremacist Propaganda,St Matthews,KY,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted a banner that read: ""Build the wall, deport them all.""",
5041,8/2/2018,White Supremacist Propaganda,Baton Rouge,LA,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers and stickers at Lousiana State University. The flyers read: ""America First,"" ""Resurrection through insurrection,"" ""America Revolution is Tradition,"" and ""Not stolen conquered.""",
5042,8/2/2018,White Supremacist Propaganda,Rome,NY,Right Wing (White Supremacist),United Northern and Southern Knights,"United Northern and Southern Knights, a Klan group, distributed flyers that read: ""Join the Klan and save our land.""",
5043,8/1/2018,White Supremacist Propaganda,Bernardsville,NJ,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Our generation, Our future, Our last chance."" They also posted stickers featuring their group logo.",
5044,8/1/2018,White Supremacist Propaganda,Greencastle,IN,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers and stickers that read: ""Not stolen conquered,"" ""Not here not ever,"" ""Money does not rule you,"" and ""Democracy the freedom to vote, but not get what you vote for.""",
5045,7/31/2018,White Supremacist Propaganda,San Francisco,CA,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Immigration and Customs Enforcement thank you for all that you do for our country,"" and ""Let's become great again."" They also posted stickers featuring their group logo.",
5046,7/31/2018,White Supremacist Propaganda,Fort Collins,CO,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, posted stickers featuring their group logo.",
5047,7/31/2018,White Supremacist Propaganda,Beckley,WV,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers and stickers that read: ""Not here not ever,"" ""Not stolen conquered,"" ""Not here not ever,"" ""Money does not rule you,"" and ""Democracy the freedom to vote, but not get what you vote for.""",
5048,7/31/2018,White Supremacist Propaganda,Dolly Sods,WV,Right Wing (White Supremacist),Patriots of Appalachia,"Patriots of Appalachia, an alt right group, posted flyers read: ""Patriotic fraternity dedicated to survival preparation and fitness."" They also posted stickers featuring their group logo.",
5049,7/31/2018,White Supremacist Propaganda,North Mankato,MN,Right Wing (White Supremacist),,"An unknown person or group, posted white supremacist propaganda that read: ""America is a white nation,"" and included the symbol used by the Identitarian movement",
5050,7/30/2018,White Supremacist Propaganda,Denver,CO,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, posted stickers featuring their group logo at the Metropolitan State University of Denver.",
5051,7/30/2018,White Supremacist Propaganda,Clear Spring,MD,Right Wing (White Supremacist),Loyal White Knights,"Loyal White Knights, a Klan group, distributed recruitment flyers.",
5052,7/30/2018,White Supremacist Propaganda,Bellevue,WA,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers read: ""Welcome to occupied America.""",
5053,7/29/2018,White Supremacist Propaganda,San Jose,CA,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, posted stickers featuring their group logo.",
5054,7/29/2018,White Supremacist Propaganda,Loveland,CO,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, posted stickers featuring their group logo.",
5083,7/29/2018,White Supremacist Event,NY,NY,Right Wing (White Supremacist),Honorable Sacred Knights of the Ku Klux Klan,"Several dozen individuals associated with Identity Evropa participated in a flash demonstration in front of the Mexican consulate in New York City. The group held lettering that read, ""Build the Wall.""",
5055,7/28/2018,White Supremacist Propaganda,Portland,OR,Right Wing (White Supremacist),Daily Stormer Book Club,"A Daily Stormer Book Club, an alt right group, distributed flyers that read: "" A notice to all citizens of the United States of America it is your civic duty to report any and all illegal aliens to ICE they have broken the law.""",
5056,7/28/2018,White Supremacist Propaganda,Denton,TX,Right Wing (White Supremacist),Daily Stormer Book Club,"A Daily Stormer Book Club, an alt right group, distributed flyers at the University of North Texas. The flyers read: "" A notice to all citizens of the United States of America it is your civic duty to report any and all illegal aliens to ICE they have broken the law.""",
5084,7/28/2018,White Supremacist Event,NY,NY,Right Wing (White Supremacist),Honorable Sacred Knights of the Ku Klux Klan,"Several dozen individuals associated with Identity Evropa participated in a flash demonstration in Fort Tryon Park.  The group held a banner that read, ""Stop the invasion, End immigration.""",
5085,7/28/2018,White Supremacist Event,San Antonio,TX,Right Wing (White Supremacist),Honorable Sacred Knights of the Ku Klux Klan,"Approximately 20 individuals associated with alt right group Patriot Front disrupted an ""Occupy ICE"" event.  Images and video of the incident indicate that Patriot Front members vandalized the Occupy Ice camp while shouting, ""Strong borders, strong nations."" ",
5057,7/27/2018,White Supremacist Propaganda,Sterling,VA,Right Wing (White Supremacist),Loyal White Knights,"Loyal White Knights, a Klan group, distributed recruitment flyers.",
5058,7/27/2018,White Supremacist Propaganda,Colorado Springs,CO,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers that read: ""Keep America American.""",
5059,7/27/2018,White Supremacist Propaganda,Woodridge,IL,Right Wing (White Supremacist),,"An unknown person or group, distributed racist and anti-Semitic flyers in Farmingdale Village.",
5094,7/27/2018,Extremist Murder,Robstown,TX,Right Wing (White Supremacist),,"Richard Starry, 61, shot and killed four people who were family members or family connections in two locations before killing himself.  According to a media source, Starry, who had an extensive criminal record, had belonged to a white supremacist group while in prison.",
326,7/26/2018,White Supremacist Propaganda,Brattleboro,VT,Right Wing (White Supremacist),Atomwaffen Division,"Atomwaffen Division, a neo-Nazi group, distributed flyers that read: ""Black lives don't matter.""",
2201,7/26/2018,White Supremacist Propaganda,San Jose,CA,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers read: ""Strong families make strong nations,"" ""Patriots reclaim your birthright,"" ""Keep America American..."" and ""Not Stolen, Conquered.""",
5086,7/26/2018,White Supremacist Event,Knoxville,TN,Right Wing (White Supremacist),Honorable Sacred Knights of the Ku Klux Klan,Several individuals associated with the white supremacist Shield Wall Network protested a Democratic campaign event. ,
814,7/25/2018,White Supremacist Propaganda,Edison,NJ,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Our Future Belongs to Us."" They also posted stickers featuring their group logo.",
950,7/25/2018,White Supremacist Propaganda,Gahanna,OH,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers read: ""Reject Poison,"" ""Fake News: Don't Buy It!"" ""America is dead. Long Live America,"" and ""Patriotism with Teeth.""",
1647,7/25/2018,White Supremacist Propaganda,Morgan Hill,CA,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Our Future Belongs to Us,"" ""Protect Your Heritage"" and ""Serve Your People."" They also posted stickers featuring their group logo.",
2359,7/25/2018,White Supremacist Propaganda,Stanardsville,VA,Right Wing (White Supremacist),Loyal White Knights,"Loyal White Knights, a Klan group, distributed flyers.",
313,7/24/2018,White Supremacist Propaganda,Boulder,CO,Right Wing (White Supremacist),Identity Evropa,Approximately 7 individuals associated with Identity Evropa held a banner from a Boulder overpass that read: â€œDanger sanctuary city ahead.â€ ,
866,7/24/2018,White Supremacist Propaganda,Falls Church,VA,Right Wing (White Supremacist),Loyal White Knights,"Loyal White Knights, a Klan group, distributed flyers that were described as racist and anti-Semitic.",
1296,7/24/2018,White Supremacist Propaganda,Las Vegas,NV,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Our Destiny Is Ours,"" ""Protect Your Heritage"" and ""Our Future Belongs to Us.""",
2144,7/24/2018,White Supremacist Propaganda,San Antonio,TX,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers read: ""Building a future, preserving a nation,"" ""Money Does Not Own You"" and ""Life, Liberty and the Pursuit of Victory.""",
90,7/23/2018,White Supremacist Propaganda,Arlington,WA,Right Wing (White Supremacist),,"An unknown person or group, distributed flyers with the words ""Mass Media"" in the center of a Star of David.",
201,7/23/2018,White Supremacist Propaganda,Beallsville,MD,Right Wing (White Supremacist),Loyal White Knights,"Loyal White Knights, a Klan group, distributed flyers titled ""God commands racial segregation....""",
674,7/23/2018,White Supremacist Propaganda,Croton Falls,NY,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Our Generation. Our Future. Our Last Chance.""",
921,7/23/2018,White Supremacist Propaganda,Fort Worth,TX,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers read: ""America First"" and ""Keep America American...""",
2471,7/23/2018,White Supremacist Propaganda,Tinley Park,IL,Right Wing (White Supremacist),Loyal White Knights,"Loyal White Knights, a Klan group, distributed recruitment flyers that proclaimed ""White pride doesn't mean hate...""",
2659,7/23/2018,White Supremacist Propaganda,Wheaton,IL,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Our Generation. Our Future. Our Last Chance."" They also posted stickers featuring their group logo.",
9,7/22/2018,White Supremacist Propaganda,Akron,OH,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Our Future Belongs to Us."" They also posted stickers featuring their group logo.",
330,7/22/2018,White Supremacist Propaganda,Bridesburg,PA,Right Wing (White Supremacist),American Freedom Knights,"American Freedom Knights, a Klan group, distributed flyers that read: "" The KKK Wants You. American Freedom Knights.""",
1850,7/22/2018,White Supremacist Propaganda,Omaha,NE,Right Wing (White Supremacist),,"An unknown person or group, distributed Nazi-era pamphlets that had been translated into English and published.",
2415,7/22/2018,White Supremacist Propaganda,Tacoma,WA,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted a sticker featuring their logo on a ""Tacoma Against Nazis "" billboard.",
2439,7/22/2018,White Supremacist Propaganda,Tampa,FL,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers read: ""Building a future, preserving a nation,"" ""Not Stolen, Conquered,"" ""Keep America American..."" and ""Life, Liberty and the Pursuit of Victory.""",
89,7/21/2018,White Supremacist Propaganda,Arlington,VA,Right Wing (White Supremacist),Loyal White Knights,"Loyal White Knights, a Klan group, distributed flyers titled ""The Cost of Illegal Immigration....""",
483,7/21/2018,White Supremacist Propaganda,Centreville,VA,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers read: ""Reject Poison,"" ""America: Revolution Is Tradition,"" ""Your Future with Communism [skull image]"" and ""Not Stolen, Conquered.""",
1324,7/21/2018,White Supremacist Propaganda,Lincoln,NE,Right Wing (White Supremacist),,"An unknown person or group, distributed Nazi-era pamphlets that had been translated into English and published.",
2182,7/21/2018,White Supremacist Propaganda,San Diego,CA,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Our Generation. Our Future. Our Last Chance."" They also posted stickers featuring their group logo.",
207,7/19/2018,White Supremacist Propaganda,Bedminster,NJ,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, placed propaganda featuring their logo inside books at a local library.",
321,7/19/2018,White Supremacist Propaganda,Branchburg,NJ,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Our Generation. Our Future. Our Last Chance.""",
455,7/18/2018,White Supremacist Propaganda,Campbell,CA,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, placed propaganda featuring their logo inside books at a local bookstore.",
2200,7/18/2018,White Supremacist Propaganda,San Jose,CA,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed multiple flyers that read: ""Welcome to Occupied America...,"" ""Democracy: The freedom to vote but not get what you voted for,"" ""Patriots! Reclaim Your Birthright"" and ""Money Does Not Rule You.""",
2243,7/18/2018,White Supremacist Propaganda,Saratoga,CA,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, posted stickers featuring their group logo.",
758,7/16/2018,White Supremacist Propaganda,Denver,CO,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, posted stickers featuring their group logo.",
488,7/15/2018,White Supremacist Propaganda,Chantilly,VA,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed multiple flyers that read: ""Keep America American...,"" ""Not Stolen, Conquered"" and ""America: Revolution Is Tradition.""",
2602,7/15/2018,White Supremacist Propaganda,Washington D.C.,DC,Right Wing (White Supremacist),,An unknown person distributed anti-Semitic flyers attributed to Peter J. Cojanis. ,
553,7/14/2018,White Supremacist Propaganda,Chicago,IL,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Our Generation. Our Future. Our Last Chance."" They also posted stickers featuring their group logo.",
879,7/14/2018,White Supremacist Propaganda,Fayetteville,NC,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Protect Your Heritage"" and ""Serve Your People.""",
1650,7/14/2018,White Supremacist Propaganda,Morgantown,WV,Right Wing (White Supremacist),Patriots of Appalachia,"Patriots of Appalachia, an alt right group, posted flyers read: ""Patriotic fraternity dedicated to survival and fitness, restoring the agrarian values of the self-reliant family, to ensure the survival of heirloom Americans in the age of globalism.""",
2554,7/14/2018,White Supremacist Propaganda,Warrenville,IL,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed multiple flyers that read: ""America: Revolution Is Tradition,"" ""Life, Liberty and the Pursuit of Victory,"" ""Patriots! Reclaim Your Birthright"" and ""Resurrection Through Insurrection.""",
206,7/13/2018,White Supremacist Propaganda,Bedminster,NJ,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Our Generation. Our Future. Our Last Chance."" They also posted stickers featuring their group logo.",
1011,7/13/2018,White Supremacist Propaganda,Greensboro,NC,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Our Generation. Our Future. Our Last Chance."" They also posted stickers featuring their group logo.",
1192,7/13/2018,White Supremacist Propaganda,Keller,TX,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed multiple flyers that read: ""Keep America American..."" and ""Not Stolen, Conquered.""",
331,7/12/2018,White Supremacist Propaganda,Bridgewater,NJ,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Our Generation. Our Future. Our Last Chance."" They also posted stickers featuring their group logo.",
1123,7/12/2018,White Supremacist Propaganda,Huntington,WV,Right Wing (White Supremacist),Patriots of Appalachia,"Patriots of Appalachia, an alt right group, distributed flyers that read: ""A brighter tomorrow starts with a strong, smarter, and better you.""",
2199,7/12/2018,White Supremacist Propaganda,San Jose,CA,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Our Generation. Our Future. Our Last Chance."" and ""Let's Become Great Again.""",
479,7/11/2018,White Supremacist Propaganda,Center Moriches,NY,Right Wing (White Supremacist),,"An unknown person or group posted white supremacist propaganda that read: ""White Lives Matter. It's not racist to love your own people. Take a stand Ã¢â‚¬â€œ being white is still right.""",
2054,7/11/2018,White Supremacist Propaganda,Redwood City,CA,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed multiple flyers that read: ""Not Stolen, Conquered,"" ""To Ourselves and Our Posterity"" and  ""America: Revolution Is Tradition.""",
757,7/10/2018,White Supremacist Propaganda,Denver,CO,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, posted stickers featuring their group logo.",
940,7/10/2018,White Supremacist Propaganda,Freemont,CA,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed multiple flyers that read:""Keep America America...,"" ""Not stolen conquered,"" and ""America revolution is tradition.""",
2245,7/10/2018,White Supremacist Propaganda,Saratoga,CA,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed propaganda.",
2438,7/10/2018,White Supremacist Propaganda,Tampa,FL,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Our Generation. Our Future. Our Last Chance."" They also posted stickers featuring their group logo.",
2609,7/10/2018,White Supremacist Propaganda,Wayne Township,OH,Right Wing (White Supremacist),Loyal White Knights,"Loyal White Knights, a Klan group, distributed recruitment flyers.",
585,7/9/2018,White Supremacist Propaganda,Cleveland,OH,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Our Future Belongs to Us"" and ""Serve Your People.""",
2060,7/9/2018,White Supremacist Propaganda,Richardson,TX,Right Wing (White Supremacist),Identity Evropa,Approximately 7 individuals associatedwith Identity Evropa  met at Heights Park in Richardson.,
2553,7/9/2018,White Supremacist Propaganda,Warrenton,VA,Right Wing (White Supremacist),Loyal White Knights,"Loyal White Knights, a Klan group, distributed recruitment flyers.",
2601,7/9/2018,White Supremacist Propaganda,Washington D.C.,DC,Right Wing (White Supremacist),,An unknown person distributed anti-Semitic flyers attributed to Peter J. Cojanis. ,
552,7/8/2018,White Supremacist Propaganda,Chicago,IL,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, posted stickers featuring the group logo.",
1448,7/8/2018,White Supremacist Propaganda,Madison,WI,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, posted stickers featuring the group logo.",
1689,7/8/2018,White Supremacist Propaganda,Nashville,TN,Right Wing (White Supremacist),Vanguard America,"Vanguard America, a neo-Nazi group, distributed flyers that read: ""A notice to all white Americans: It is your civic duty to report any and all illegal aliens.""",
551,7/7/2018,White Supremacist Propaganda,Chicago,IL,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed multiple flyers that read: ""Welcome to Occupied America...""",
1423,7/7/2018,White Supremacist Propaganda,Lousiville,KY,Right Wing (White Supremacist),Sacred Knights of the KKK,Several members of the Sacred Knights attempted to join American Guard and members of the III%  movement in a protest of Occupy ICE Louisville.,
2059,7/7/2018,White Supremacist Propaganda,Reston,VA,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed multiple flyers that read: ""Your Future with Communism [skull image],"" ""Not Stolen, Conquered"" and ""Resurrection Through Insurrection.""",
433,7/6/2018,White Supremacist Propaganda,Burlington,WA,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed multiple flyers that read: ""Will your speech be hate speech?"" and ""Money does not rule you.""",
2183,7/6/2018,White Supremacist Propaganda,San Diego,CA,Right Wing (White Supremacist),Identity Evropa,"Approximately 8 individuals associated with Identity Evropa held a banner from an overpass that read, ""European Roots American Greatness""",
2671,7/6/2018,White Supremacist Propaganda,Wichita,KS,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Our Generation. Our Future. Our Last Chance."" The group also posted stickers featuring their logo.",
550,7/5/2018,White Supremacist Propaganda,Chicago,IL,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, distributed flyers that read: ""Our Generation. Our Future. Our Last Chance."" They also posted stickers featuring their logo.",
644,7/5/2018,White Supremacist Propaganda,Columbus,OH,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed multiple flyers that read: ""America: Revolution Is Tradition."" The group targeted a gay congressional candidate and placed its propaganda on a campaign sign in his yard.",
2080,7/5/2018,White Supremacist Propaganda,Rock Springs,WY,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, posted stickers featuring their logo.",
1298,7/4/2018,White Supremacist Propaganda,Laurel,MD,Right Wing (White Supremacist),,"An unknown person distributed anti-Semitic flyers attributed to Peter J. Cojanis. The flyers say that people ""should not be associated with them [Jews] within 200 yards.""",
2143,7/4/2018,White Supremacist Propaganda,San Antonio,TX,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed multiple flyers that read: ""Keep America American.""",
2643,7/4/2018,White Supremacist Propaganda,Westlake,OH,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted stickers featuring their group logo along a 4th of July parade route.",
